frame,waist,left_hand,right_hand,left_foot,right_foot
0,5,5,5,2,2
1,5,5,5,2,2
2,5,5,5,2,2
3,5,5,5,2,2
4,5,5,5,2,2
5,5,5,5,2,2
6,5,5,5,2,2
7,5,5,5,2,2
8,5,5,5,2,2
9,5,5,5,2,2
10,5,5,5,2,2
11,5,5,5,2,2
12,5,5,5,2,2
13,5,5,5,2,2
14,5,5,5,2,2
15,5,5,5,2,2
16,5,5,5,2,2
17,5,5,5,2,2
18,5,5,5,2,2
19,5,5,5,2,2
20,5,5,5,2,2
21,5,5,5,2,2
22,5,5,5,2,2
23,5,5,5,2,2
24,5,5,5,2,2
25,5,5,5,2,2
26,5,5,5,2,2
27,5,5,5,2,2
28,5,5,5,2,2
29,5,5,5,2,2
30,5,5,5,2,2
31,5,5,5,2,2
32,5,5,5,2,2
33,5,5,5,2,2
34,5,5,5,2,2
35,5,5,5,2,2
36,5,5,5,2,2
37,5,5,5,2,2
38,5,5,5,2,2
39,5,5,5,2,2
40,5,5,5,2,2
41,5,5,5,2,2
42,5,5,5,2,2
43,5,5,5,2,2
44,5,5,5,2,2
45,5,5,5,2,2
46,5,5,5,2,2
47,5,5,5,2,2
48,5,5,5,2,2
49,5,5,5,2,2
50,5,5,5,2,2
51,5,5,5,2,2
52,5,5,5,2,2
53,5,5,5,2,2
54,5,5,5,2,2
55,5,5,5,2,2
56,5,5,5,2,2
57,5,5,5,2,2
58,5,5,5,2,2
59,5,5,5,2,2
60,5,5,5,2,2
61,5,5,5,2,2
62,5,5,5,2,2
63,5,5,5,2,2
64,5,5,5,2,2
65,5,5,5,2,2
66,5,5,5,2,2
67,5,5,5,2,2
68,5,5,5,2,2
69,5,5,5,2,2
70,5,5,5,2,2
71,5,5,5,2,2
72,5,5,5,2,2
73,5,5,5,2,2
74,5,5,5,2,2
75,5,5,5,2,2
76,5,5,5,2,2
77,5,5,5,2,2
78,5,5,5,2,2
79,5,5,5,2,2
80,5,5,5,2,2
81,5,5,5,2,2
82,5,5,5,2,2
83,5,5,5,2,2
84,5,5,5,2,2
85,5,5,5,2,2
86,5,5,5,2,2
87,5,5,5,2,2
88,5,5,5,2,2
89,5,5,5,2,2
90,5,5,5,2,2
91,5,5,5,2,2
92,5,5,5,2,2
93,5,5,5,2,2
94,5,5,5,2,2
95,5,5,5,2,2
96,5,5,5,2,2
97,5,5,5,2,2
98,5,5,5,2,2
99,5,5,5,2,2
100,5,5,5,2,2
101,5,5,5,2,2
102,5,5,5,2,2
103,5,5,5,2,2
104,5,5,5,2,2
105,5,5,5,2,2
106,5,5,5,2,2
107,5,5,5,2,2
108,5,5,5,2,2
109,5,5,5,2,2
110,5,5,5,2,2
111,5,5,5,2,2
112,5,5,5,2,2
113,5,5,5,2,2
114,5,5,5,2,2
115,5,5,5,2,2
116,5,5,5,2,2
117,5,5,5,2,2
118,5,5,5,2,2
119,5,5,5,2,2
120,5,5,5,2,2
121,5,5,5,2,2
122,5,5,5,2,2
123,5,5,5,2,2
124,5,5,5,2,2
125,5,5,5,2,2
126,5,5,5,2,2
127,5,5,5,2,2
128,5,5,5,2,2
129,5,5,5,2,2
130,5,5,5,2,2
131,5,5,5,2,2
132,5,5,5,2,2
133,5,5,5,2,2
134,5,5,5,2,2
135,5,5,5,2,2
136,5,5,5,2,2
137,5,5,5,2,2
138,5,5,5,2,2
139,5,5,5,2,2
140,5,5,5,2,2
141,5,5,5,2,2
142,5,5,5,2,2
143,5,5,5,2,2
144,5,5,5,2,2
145,5,5,5,2,2
146,5,5,5,2,2
147,5,5,5,2,2
148,5,5,5,2,2
149,5,5,5,2,2
150,5,5,5,2,2
151,5,5,5,2,2
152,5,5,5,2,2
153,5,5,5,2,2
154,5,5,5,2,2
155,5,5,5,2,2
156,5,5,5,2,2
157,5,5,5,2,2
158,5,5,5,2,2
159,5,5,5,2,2
160,5,5,5,2,2
161,5,5,5,2,2
162,5,5,5,2,2
163,5,5,5,2,2
164,5,5,5,2,2
165,5,5,5,2,2
167,5,5,5,2,2
168,5,5,5,2,2
169,5,5,5,2,2
170,5,5,5,2,2
171,5,5,5,2,2
172,5,5,5,2,2
173,5,5,5,2,2
174,5,5,5,2,2
175,5,5,5,2,2
176,5,5,5,2,2
177,5,5,5,2,2
178,5,5,5,2,2
179,5,5,5,2,2
180,5,5,5,2,2
