frame,waist,left_hand,right_hand,left_foot,right_foot
0,2,2,2,4,4
1,2,2,2,4,4
2,2,2,2,4,4
3,2,2,2,4,4
4,2,2,2,4,4
5,2,2,2,4,4
6,2,2,2,4,4
7,2,2,2,4,4
8,2,2,2,4,4
9,2,2,2,4,4
10,2,2,2,4,4
11,2,2,2,4,4
12,2,2,2,4,4
13,2,2,2,4,4
14,2,2,2,4,4
15,2,2,2,4,4
16,2,2,2,4,4
17,2,2,2,4,4
18,2,2,2,4,4
19,2,2,2,4,4
20,2,2,2,4,4
21,2,2,2,4,4
22,2,2,2,4,4
23,2,2,2,4,4
24,2,2,2,4,4
25,2,2,2,4,4
26,2,2,2,4,4
27,2,2,2,4,4
28,2,2,2,4,4
29,2,2,2,4,4
30,2,2,2,4,4
31,2,2,2,4,4
32,2,2,2,4,4
33,2,2,2,4,4
34,2,2,2,4,4
35,2,2,2,4,4
36,2,2,2,4,4
37,2,2,2,4,4
38,2,2,2,4,4
39,2,2,2,4,4
40,2,2,2,4,4
41,2,2,2,4,4
42,2,2,2,4,4
43,2,2,2,4,4
44,2,2,2,4,4
45,2,2,2,4,4
46,2,2,2,4,4
47,2,2,2,4,4
48,2,2,2,4,4
49,2,2,2,4,4
50,2,2,2,4,4
51,2,2,2,4,4
52,2,2,2,4,4
53,2,2,2,4,4
54,2,2,2,4,4
55,2,2,2,4,4
56,2,2,2,4,4
57,2,2,2,4,4
58,2,2,2,4,4
59,2,2,2,4,4
60,2,2,2,4,4
61,2,2,2,4,4
62,2,2,2,4,4
63,2,2,2,4,4
64,2,2,2,4,4
65,2,2,2,4,4
66,2,2,2,4,4
67,2,2,2,4,4
68,2,2,2,4,4
69,2,2,2,4,4
70,2,2,2,4,4
71,2,2,2,4,4
72,2,2,2,4,4
73,2,2,2,4,4
74,2,2,2,4,4
75,2,2,2,4,4
76,2,2,2,4,4
77,2,2,2,4,4
78,2,2,2,4,4
79,2,2,2,4,4
80,2,2,2,4,4
81,2,2,2,4,4
82,2,2,2,4,4
83,2,2,2,4,4
84,2,2,2,4,4
85,2,2,2,4,4
86,2,2,2,4,4
87,2,2,2,4,4
88,2,2,2,4,4
89,2,2,2,4,4
90,2,2,2,4,4
91,2,2,2,4,4
92,2,2,2,4,4
93,2,2,2,4,4
94,2,2,2,4,4
95,2,2,2,4,4
96,2,2,2,4,4
97,2,2,2,4,4
98,2,2,2,4,4
99,2,2,2,4,4
100,2,2,2,4,4
101,2,2,2,4,4
102,2,2,2,4,4
103,2,2,2,4,4
104,2,2,2,4,4
105,2,2,2,4,4
106,2,2,2,4,4
107,2,2,2,4,4
108,2,2,2,4,4
109,2,2,2,4,4
110,2,2,2,4,4
111,2,2,2,4,4
112,2,2,2,4,4
113,2,2,2,4,4
114,2,2,2,4,4
115,2,2,2,4,4
116,2,2,2,4,4
117,2,2,2,4,4
118,2,2,2,4,4
119,2,2,2,4,4
120,2,2,2,4,4
121,2,2,2,4,4
122,2,2,2,4,4
123,2,2,2,4,4
124,2,2,2,4,4
125,2,2,2,4,4
126,2,2,2,4,4
127,2,2,2,4,4
128,2,2,2,4,4
129,2,2,2,4,4
130,2,2,2,4,4
131,2,2,2,4,4
132,2,2,2,4,4
133,2,2,2,4,4
134,2,2,2,4,4
135,2,2,2,4,4
136,2,2,2,4,4
137,2,2,2,4,4
138,2,2,2,4,4
139,2,2,2,4,4
140,2,2,2,4,4
141,2,2,2,4,4
142,2,2,2,4,4
143,2,2,2,4,4
144,2,2,2,4,4
145,2,2,2,4,4
146,2,2,2,4,4
147,2,2,2,4,4
148,2,2,2,4,4
149,2,2,2,4,4
150,2,2,2,4,4
151,2,2,2,4,4
152,2,2,2,4,4
153,2,2,2,4,4
154,2,2,2,4,4
155,2,2,2,4,4
156,2,2,2,4,4
157,2,2,2,4,4
158,2,2,2,4,4
159,2,2,2,4,4
160,2,2,2,4,4
161,2,2,2,4,4
162,2,2,2,4,4
163,2,2,2,4,4
164,2,2,2,4,4
165,2,2,2,4,4
167,2,2,2,4,4
168,2,2,2,4,4
169,2,2,2,4,4
170,2,2,2,4,4
171,2,2,2,4,4
172,2,2,2,4,4
173,2,2,2,4,4
174,2,2,2,4,4
175,2,2,2,4,4
176,2,2,2,4,4
177,2,2,2,4,4
178,2,2,2,4,4
179,2,2,2,4,4
180,2,2,2,4,4
